index,title,link,description,abbreviation,indices_disorder,indices_disorder_category,index_sign_symptom,behaviour/domain/states,indices_reference,index_license,indices_respondent,indices_subject,age_min,age_max,number_of_questions,minutes_to_complete,authors,index_language,last_modified,last_modified_by,year,use_with_assessments,indices_language_not_in_mhdb,minutes_to_complete (with ranges),indices_age,indices_disorder_subcategory,indices_disorder_subsubcategory
72,Physical Activity Questionnaire for Older Children ,https://www.prismsports.org/UserFiles/file/PAQ_manual_ScoringandPDF.pdf,"The Physical Activity Questionnaire for Children (PAQ-C) seeks information on children's participation in vigorous activities over the last 7 days. A checklist is used to determine if a child engages in physical activity during a given time period, such as the weekend or a weekday. No information is collected in regards to duration of participation, moderate or low intensity activities, or non-organized activities. An interviewer-administered 7-d recall questionnaire asks students to recall the time they spent sleeping, in moderate-intensity activities, and hard and very hard activities on each day of the previous week.",PAQ-C,,,,,205,20,"2600, 2700","200, 600",8,14,10,5,"Crocker, P. R. E., Bailey, D. A., Faulkner, R. A., Kowalski, K. C., & McGrath, R.",22200,2021-03-27,AB,1997,,29200,5,,,
73,Parent-Child Internet Addiction Test,https://www.stoeltingco.com/media/wysiwyg/IATF_web_sample.pdf,"The PCIAT is a 20-item scale that measures characteristics and behaviors associated with compulsive use of the Internet that include compulsivity, escapism, and dependency. Questions also assess problems related to addictive use in personal, occupational, and social functioning.",PCIAT,,,,,201,20,"2600, 2700","200, 600",,,20,10,"Young, K. S.",22200,2020-03-08,AB,2017,,"68500, 27800, 28200, 19100",5-10,,,
74,Peterson Puberty Scale,https://www.icpsr.umich.edu/icpsrweb/PHDCN/descriptions/pds-phys-w1-w2-w3.jsp,"The Peterson Puberty Scale is an adaptation of an interview-based puberty-rating scale by Petersen, and includes scores for each of five items rating physical development, an overall maturation measure, and a categorical maturation score. It is designed to be non-invasive, not requiring the use of pictures.",PPS,,,,,206,20,"200, 600",2900,,,,5,,22200,2020-03-10,AB,,,,5,,,
75,Parenting Stress Index,https://www.parinc.com/Products/Pkey/333,"The PSITM is designed to evaluate the magnitude of stress in the parent-child system, focusing on three major domains of stress: 1) child characteristics, 2) parent characteristics, and 3) situational/demographic life stress.",PSI,,"1, 4, 5",,,207,20,"2600, 2700",200,5,12,120,20,"Abidin, R. R.",22200,2021-03-27,AB,,,"29200, 68500, 30100, 22100, 27800, 22600, 23200, 28200, 19000, 19100, 28550, 28500, 30300, 21800, 21400, 21500, 40100, 2500, 73500, 30800, 18400, 69200",20,8,,
77,Yale Food Addiction Scale,http://www.midss.org/content/yale-food-addiction-scale-yfas,"The YFAS is a measure that has been developed to identify those who are most likely to be exhibiting markers of substance dependence with the consumption of high fat/high sugar foods. This 25-item self-report measure includes mixed response categories (dichotomous and Likert-type format). A food addiction symptom (e.g., tolerance, withdrawal, loss of control) count can be obtained which is similar to the criteria for substance dependence of the DSM-IV-TR (American Psychiatric Association, 2000). Additionally, two items assess clinically significant impairment or distress from eating. Food addiction can be “diagnosed” when three symptoms and clinically significant impairment or distress are present.",YFAS,,10,,,208,20,"600, 800",2900,17,,25,10,"Gearhardt, A. N., Corbin, W. R., & Brownell, K. D.",22200,2021-03-27,AB,2009,,"29200, 68500, 27800, 22600, 28200, 7200",10,"5, 9",,
80,Multidimensional Anxiety Scale for Children 2nd Edition - Parent Report,https://www.pearsonclinical.ca/en/products/product-master/item-540.html,"The MASC is a normed 39-item self-report questionnaire that assesses anxiety in children and adolescents. It uses four basic scales (physical symptoms, harm avoidance, social anxiety, and separation/panic), one scale measuring total anxiety, and two additional indexes, anxiety disorder and inconsistency. Participants are asked to rate their own behavior on a 4-point scale: 0-Never true about me, 1-Rarely true about me, 2-Sometimes true about me, 3-Often true about me.",MASC-2-Parent,,5,,,209,20,"2600, 2700",200,8,19,39,15,"March, J. S.",22200,2021-03-27,AB,2000,81,,,"8, 9",,
81,Multidimensional Anxiety Scale for Children 2nd Edition - Self Report,https://www.pearsonclinical.ca/en/products/product-master/item-540.html,"The MASC is a normed 39-item self-report questionnaire that assesses anxiety in children and adolescents. It uses four basic scales (physical symptoms, harm avoidance, social anxiety, and separation/panic), one scale measuring total anxiety, and two additional indexes, anxiety disorder and inconsistency. Participants are asked to rate their own behavior on a 4-point scale: 0-Never true about me, 1-Rarely true about me, 2-Sometimes true about me, 3-Often true about me.",MASC-2-Self,,5,,,209,20,"2600, 2700","200, 600, 750",8,19,39,15,"March, J. S.",22200,2020-03-06,AB,2000,80,,,"8, 9",,
82,Behavior Rating Inventory of Executive Function-Preschool Version,https://www.parinc.com/Products/Pkey/26,The BRIEF-P assesses executive functioning in preschool-aged children.,BRIEF-Preschool,,,,,,20,"1800, 2600, 2700","200, 600, 1000",2,5,,15,"Gioia, G. A., Espy, K. A., Isquith, P. K.",22200,2019-12-10,AB,2013,,29200,10-15,1,,
84,Ishihara Color Vision Test,https://www.color-blindness.com/ishiharas-test-for-colour-deficiency-38-plates-edition/,"The Ishihara Color Vision Test is the most well known color blindness test. Each test consists of a set of colored dotted plates, each of them showing either a number or a path.",,,,,,,20,100,2900,,,,,"Ishihara, S.",22200,2020-03-06,AB,1917,,,,,,
86,Children's Global Assessment Scale,https://www.thereachinstitute.org/images/CGAS.pdf,"The CGAS is a numeric scale used by mental health clinicians to rate the general functioning of youths under the age of 18. Scores range from 1 to 90 or 1 to 100, with high scores indicating better functioning.",CGAS,,,,,210,20,"200, 600",2900,,18,,5,"Schaffer, D., Gould, M. S., Brasic, J., Ambrosini, P., Fisher, P., Bird, H., & Aluwahlia, S.",22200,2021-03-27,AB,1983,,"29200, 21800",5,"8, 9",,
87,Columbia Impairment Scale - Parent Version,https://eprovide.mapi-trust.org/instruments/columbia-impairment-scale,"The CIS is a 13 item parent report scale that assesses global functioning in domains of interpersonal relations, psychopathology, school performance, use of leisure time; monitors progress after 6 months of treatment.",CIS-P,,,,,191,20,"2600, 2700","200, 600",,,13,,"Bird, H., Gould, M., Staghezza, B., Chen, J., Hoven, C., Shaffer, D., & Fisher, P.",22200,2021-03-27,AB,1993,,,,"8, 9",,
88,Extended Strengths and Weaknesses Assessment of Normal Behavior,http://www.eswan.org/,"The E-SWAN is a parent self-report instrument used to help assess multiple DSM Disorders and evaluate problem behavior in children and adolescents.  The disorders include Depression, Disruptive Mood Disregulation Disorder (DMDD), Social Anxiety, and Panic Disorder.",E-SWAN,,,,,,20,"2600, 2700","200, 600",5,17,,10,"Alexander, L., Salum, S., Milham, M., & Swanson, J.",22200,2021-03-27,AB,,,,10,"8, 9",,
89,Food Frequency Questionnaire,https://epi.grants.cancer.gov/diet/usualintakes/ffq.html,"The Food Frequency Questionnaire (FFQ) is a screening tool designed to assess children's intake by food group, with outcomes measured in number of servings. The focus of these tools is on intake of fruit and fruit juices, vegetables, potatoes (including French fries), whole grains, meat/poultry/fish, dairy, legumes, saturated fat, ""added sugars"" (in sweetened cereals, soft drinks, and sweets), glycemic load and glycemic index. A secondary analysis produces estimates for intake of sugary beverages (both kcal and frequency). Individual portion sizes are asked.",FFQ,10,,,,211,20,100,2900,,,139,60,National Cancer Institute,22200,2021-03-27,AB,,,29200,30-60,,,
90,"Peabody Picture Vocabulary Test, Fourth Edition ",https://www.pearsonassessments.com/store/usassessments/en/Store/Professional-Assessments/Academic-Learning/Brief/Peabody-Picture-Vocabulary-Test-%7C-Fourth-Edition/p/100000501.html,"The PPVT-4 scale is a norm-referenced, wide-range instrument for measuring the receptive (hearing) vocabulary of children and adults. It measures understanding of the spoken word in standard American English and thus assesses vocabulary acquisition.",PPVT-4,,,,,212,20,"200, 600, 800",2900,,,37,10,"Dunn, L. M., & Dunn, D. M.",22200,2021-03-27,AB,2007,,,10-15,,,
91,PhenX School Risk and Protective Factors,https://www.phenxtoolkit.org/protocols/view/540501,The PhenX School Risk measure can be used to identify specific school-related risk and protective factors that can predict adolescent (and later life) substance use and abuse.,,,,,,"213, 214",20,"200, 600",2900,12,18,9,1,,22200,2020-03-10,AB,2012,,,1,"8, 9",,
92,PhenX Neighborhood Safety,https://www.phenxtoolkit.org/protocols/view/210901,"The PhenX Neighborhood Safety measure is used to evaluate a respondent’s feelings toward neighborhood-level crime and safety. Studies show that neighborhood safety is relevant to a range of health outcomes, such as birth weight.",,,,,,215,20,100,2900,,,3,10,"Mujahid, M. S., Diez Roux, A. V., Morenoff, J. D., & Raghunathan, T.",22200,2020-03-10,AB,2007,,,10,,,
93,Repetitive Behavior Scale - Revised ,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/rbs-r.html,"The RBS-R is a 44-item self-report questionnaire that is used to measure the breadth of repetitive behavior in children, adolescents, and adults with Autism Spectrum disorders. The RBS-R provides a quantitative, continuous measure of the full spectrum of repetitive behaviors. The RBS-R consists of six subscales including: Stereotyped Behavior, Self-injurious Behavior, Compulsive Behavior, Routine Behavior, Sameness Behavior, and Restricted Behavior, that have no overlap of item content.",RBS-R,,6,,,216,20,"2600, 2700","200, 600",6,17,44,15,"Lam, K. S. L., Aman, M. G.",22200,2021-03-27,AB,2007,,,15,"8, 9",,
94,Sleep Disturbance Scale for Children,http://www.midss.org/content/sleep-disturbance-scale-children-sdsc,"The SDSC is a 27-item inventory rated on a 5 point Likert-type scale. The instrument’s purpose is to categorize sleep disorders in children. As well as giving an overall score the instrument uses five subdomains: disorders of initiating and maintaining sleep, sleep breathing disorders, disorders of arousal, sleep-wake transition disorders, disorders of excessive somnolence, and sleep hyperhidrosis.",SDSC,,12,,,217,20,"2600, 2700","200, 600",6,15,27,10,"Bruni, O., Ottavianio, S., Guidetti, V., Romoli, M., Innocenzi, M., Cortesi, F., & Giannotti, F.",22200,2020-03-11,AB,1996,,28550,5-10,"8, 9",,
95,Social Aptitudes Scale,http://dawba.info/SAS/psasenglish.pdf,The SAS is a 10-item parent report scale that assesses a child behaves in different social situations compared to other children of the same age. Items are rated from above to below average.,SAS,,,,,218,20,"2600, 2700","200, 600",,,10,5,"Goodman, R.",22200,2021-03-27,AB,2001,,,5,,,
96,Strengths and Difficulties Questionnaire,https://depts.washington.edu/dbpeds/Screening%20Tools/Strengths_and_Difficulties_Questionnaire.pdf,"The SDQ is a brief behavioral screening questionnaire with 25 items on psychological attributes divided between 5 scales. The extended version includes an impact supplement that asks if the caregiver if participant has experienced a problem and the degree of chronicity, distress, social impairment, and burden to others. The questionnaire is administered during the initial telephone screen with the caregiver of a child or adolescent participant. For clinical assessment, SDQ helps to determine how the protocol assessments are completed and the professionals involved.",SDQ,,,,,"219, 220, 221",20,"2600, 2700","200, 600",3,16,25,5,,22200,2021-03-27,AB,,,"29200, 68500, 30100, 30700, 21200, 22100, 27800, 22600, 35200, 28200, 19000, 19100, 28550, 28500, 29000, 30300, 21800, 7200, 19500, 30000, 66200, 33900, 73500, 24000, 24100, 21400, 16400, 19900, 41500, 16700, 21500, 30800, 42300, 16800, 70000, 29700, 19300, 2700, 18900, 40100, 25100, 29600, 1700, 75300, 75600, 26100, 26000, 3400, 2500, 23600, 3900, 72500, 30200, 74500, 20700, 20400, 24900, 18400, 75900, 67920, 76100, 26300, 20600, 72300, 72400, 1000, 37850, 45400, 26500, 3700, 44000, 67930, 26800, 25900, 62000",5,"8, 9",,
97,Yale Global Tic Severity Scale ,https://dcf.psychiatry.ufl.edu/files/2011/06/TIC-YGTSS-Clinician.pdf,"The Y-GTSS is a semi-structured clinician rated instrument that assesses the nature of motor and phonic tics, and is administered as part of the KSADS interview, if indicated.",Y-GTSS,,,,,222,20,"200, 600",2900,6,17,,10,"Leckman, J. F., Hardin, M. T., Swartz, K. L., Stevenson, J., Cohen, D. J., Riddle, M. A., Ort, S. I.",22200,2021-03-27,AB,1989,,"29200, 27800, 30800",10,,6,
98,The World Health Organization Disability Assessment Schedule 2.0 - Self Report,https://www.who.int/classifications/icf/whodasii/en/,"The WHODAS is a generic assessment instrument for health and disability. It assesses function across domains of cognition, mobility, self-care, getting along, life activities, and participation.",WHODAS 2.0-SR,,,,,192,20,100,2900,,,12,5,World Health Organization,22200,2021-03-27,AB,2010,,,5,,,
99,University of California Los Angeles Trauma Reactivity Scale for DSM-5 ,https://arfamiliesfirst.com/wp-content/uploads/2013/05/UCLA-PTSD-Index-Instructions-1.pdf,"The UCLA is a 31-item questionnaire used to assess PTSD symptoms. When answering the questions, the child should think about the traumatic event that is most bothersome to him/her currently and rate the frequency of symptoms in the past month.",UCLA-DSM-5,165,,,,224,20,"600, 800",2900,5,18,31,15,,22200,2020-03-12,AB,,,,15,"8, 9",,
100,Kiddie Schedule for Affective Disorders and Schizophrenia,https://www.kennedykrieger.org/sites/default/files/library/documents/faculty/ksads-dsm-5-screener.pdf,The K-SADS combines dimensional and categorical assessment approaches to diagnose current and past episodes of psychopathology in children and adolescents according to DSM-5 criteria,K-SADS,,"1, 2, 3, 4, 5, 6, 7, 10, 15, 16",,,,20,"2100, 2200, 2300, 2400","200, 600, 1000, 2600, 2700",6,18,,,"Kaufman, J., Birmaher, B., Axelson, D., Perepletchikova, F., Brent, D., & Ryan, N.",22200,2020-03-06,AB,2016,,"29200, 68500, 21200, 22100, 27800, 22600, 28200, 19000, 19100, 28550, 21800, 7200, 73500, 21400, 16400, 24700, 30800, 16800, 16900, 29600, 26100, 2500, 26900",,,,
101,Vineland Adaptive Behavior Scale - Parent/Caregiver Rating Form - Second Edition,https://www.pearsonassessments.com/store/usassessments/en/Store/Professional-Assessments/Behavior/Adaptive/Vineland-Adaptive-Behavior-Scales-%7C-Third-Edition/p/100001622.html#tab-details,,,,,,,,20,"2600, 2700","200, 600",,,,,,22200,2020-03-12,AB,,,29200,,,,
102,Pregnancy and Birth Questionnaire ,,,,,,,,,20,800,2900,,,,,,22200,2020-03-11,AB,,,29200,,,,
104,Yale-Brown Obsessive Compulsive Scale ,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/bocs.html,"The Y-BOCS is a semi-structured clinician rated instrument to assess the severity of obsessive-compulsive disorder (OCD) symptoms that is administered as part of the KSADS interview, if indicated.",Y-BOCS,154,,,,179,20,800,2900,18,,10,,"Goodman, W, K., Price, L. H., Rasmussen, S. A., Mazure, C., Fleischmann, R. L., Hill, C. L., Heninger, G. R., Charney, D. S.",22200,2021-03-27,AB,1989,,"28200, 28550, 70000",,5,,
107,Young Mania Rating Scale,https://dcf.psychiatry.ufl.edu/files/2011/05/Young-Mania-Rating-Scale-Measure-with-background.pdf,The YMRS is a rating scale used to evaluate manic symptoms at baseline and over time in individuals with mania.,YMRS,,3,,,,20,"600, 800",2900,,,11,,"Young, R. C., Briggs, J. T., Ziegler, V. E., Meyer, D. A.",22200,2020-03-12,AB,1978,,,15-30,,,
108,The Children's Behavior Questionnaire (Very Short Form),https://research.bowdoin.edu/rothbart-temperament-questionnaires/instrument-descriptions/the-childrens-behavior-questionnaire/,"The CBQ-VSF is a 36-item informant-report questionnaire assessing temperament of children (ages 3 - 8). The questionnaire is designed to capture three broad dimensions: surgency/extraversion, negative affectivity, and effortful control. Informants are asked to rate their child based on how they feel that their child’s reaction is likely to be in a variety of situations. Responses are given on a 7-point scale ranging from 1 (extremely untrue of my child) to 7 (extremely true of my child). The questionnaire is designed to capture three broad dimensions: surgency/extraversion, negative affectivity, and effortful control. Participants are asked to rate how well the items describe their child on a 7-point scale: 1-extremely untrue of my child, 2-quite untrue, 3- slightly untrue, 4-neither true nor untrue, 5-slightly true, 6-quite true, 7-extremely true of my child.",CBQ-VSF,,,,,226,20,"2600, 2700","200, 1000",6,8,36,,"Putnam, S. P., & Rothbart, M. K.",22200,2020-03-11,AB,2006,,"68500, 22100, 27800, 23200, 28550, 21500, 30800, 26000, 2500",,8,,
109,Geriatric Depression Scale,https://integrationacademy.ahrq.gov/sites/default/files/Update%20Geriatric%20Depression%20Scale-30_0.pdf,"The GDS Long Form is a brief, 30-item questionnaire in which participants are asked to respond by answering yes or no in reference to how they felt over the past week.",GDS,,4,,,,20,"900, 950",2900,65,,30,20,"Yesavage, J. A., Brink, T. L., Rose, T. L., Lum, O., Huang, V., Adey, M. B., Adey, M. B., & Leirer, V. O.",22200,2020-01-27,AB,1983,,"29200, 3400, 19600, 30000, 68500, 66200, 21200, 22100, 26100, 27800, 22600, 23200, 2500, 24100, 35200, 21400, 40100, 20700, 28200, 19000, 19100, 2700, 19900, 41500, 21500, 28500, 29000, 29600, 30300, 21800, 70000, 16800, 7200, 19300, 20400, 23000",10-20,6,,
110,Child Eating Behavior Questionnaire,https://www.midss.org/content/child-eating-behaviour-questionnaire-cebq,"The CEBQ is a 35-item informant-report questionnaire assessing eating style in children. Eating style is assessed on 8 scales (food responsiveness, enjoyment of food, emotional overeating, desire to drink, satiety responsiveness, slowness in eating, emotional undereating, and fussiness). Informants rate the frequency of their child’s behaviors and experiences on a 5-point scale: 1-never, 2-rarely, 3-sometimes, 4-often, 5-always.",CEBQ,,10,,,227,20,"2700, 2800","200, 600, 1000",6,11,35,,"Wardle, J., Guthrie, C. A., Sanderson, S., & Rapoport, L.",22200,2019-12-19,AB,2001,,,,8,,
111,The Cambridge-Hopkins Restless Legs Syndrome (Version 2) ,https://drjenna.net/wp-content/uploads/2013/07/ch-rlsq.pdf,The CHRLS questionnaire is a diagnostic self-report assessing symptoms of restless leg syndrome. The questionnaire consists of 13 questions of varying types.,CHRLS,245,,,,,20,800,2900,13,85,13,,"Allen, R. P., Burchell, B. J., MacDonald, B., Hening, W. A., & Earley, C. J.",22200,2020-03-11,AB,2009,,24100 ,,,,
112,Eating Disorder Examination Questionnaire,http://cedd.org.au/wordpress/wp-content/uploads/2014/09/Eating-Disorder-Examination-Questionnaire-EDE-Q.pdf,The CHRLS questionnaire is a diagnostic self-report assessing symptoms of restless leg syndrome. The questionnaire consists of 13 questions of varying types.,EDEQ,,10,,,228,20,"2200, 2300, 2400, 2500",2800,13,85,36,,"Fairburn, C. G., & Cooper, Z.",22200,2019-12-19,AB,1993,,,,"5, 9",,
113,Interpersonal Reactivity Index,https://fetzer.org/sites/default/files/images/stories/pdf/selfmeasures/EMPATHY-InterpersonalReactivityIndex.pdf,"The IRI is a 28-item self- report, and is a well-validated multidimensional measure of empathic ability. Each item includes a statement about thoughts and feelings in a variety of situations, and participants are asked to indicate how well each statement describes them on a 5-point scale: 0-Does not describe me well to 4-Describes me very well.",IRI,,,,,"229, 230",20,"600, 800",2900,13,85,28,,"Davis, M. H.",22200,2020-01-30,AB,1980,,"29200, 68500, 27800, 22600, 21800",,"5, 9",,
114,The 21-Item Peters et al. Delusions Inventory,https://osf.io/ywtx5/,"The PDI-21 is a self-report designed to measure schizotypal traits and symptoms in the general population, using the Present State Examination as a template. The PDI-21 incorporates the multidimensionality of delusions, including measures of distress, preoccupation, and conviction.",PDI-21,,2,,,231,20,800,2900,11,85,21,,"Peters, E., Joseph, S., Day, S., & Garety, P.",22200,2020-03-11,AB,2004,,"29200, 68500, 22100, 27800, 28200, 19000, 19100, 28550, 28500, 29600",,"5, 9",,
115,Pittsburgh Sleep Quality Index,https://consultgeri.org/try-this/general-assessment/issue-6.1.pdf,"The PSQI is a 10-item self-report questionnaire that is designed to measure sleep quality in clinical populations, and assess usual sleep habits during the past one-month. This scale generates seven “component” scores: subjective sleep quality, sleep latency, sleep duration, habitual sleep efficiency, sleep disturbances, use of sleeping medication, and daytime dysfunction. Items 1-4 inquire about the amount of sleep and responses are recorded in free-text boxes. Items 5-10 inquire about specific sleep behaviors and quality, which are rated on 4-point scale.",PSQI,,12,,,232,20,"600, 800",2900,13,85,9,,"Buysse, D. J., Reynolds, C. F., Monk, T. H., Berman, S. R., & Kupfer, D. J.",22200,2020-03-10,AB,1989,,,,"5, 9",,
116,Emotional Regulation Questionnaire,https://fetzer.org/sites/default/files/images/stories/pdf/selfmeasures/Self_Measures_for_Personal_Growth_and_Positive_Emotions_EMOTION_REGULATION.pdf,"The ERQ is a 10-item, self-administered, Likert scale questionnaire for adults that is designed to assess individual differences in the habitual use of two emotion regulation strategies: cognitive reappraisal and expressive suppression. Items are rated on a seven point scale: 1-Strongly Disagree, 4-Neutral, 7-Strongly Agree. The questionnaire provides scores for reappraisal and suppression.",ERQ,,,,,233,20,"600, 750, 800",2900,18,,10,,"Gross, J. J., & John, O. P.",22200,2019-12-19,AB,2003,,,,5,,
117,The Penn State Worry Questionnaire,https://www.midss.org/content/penn-state-worry-questionnaire-pswq,"The PSWQ is a self-administered, 16-item, Likert-type scale designed to measure worry. It is considered by many to be the “gold-standard” for assessing worry. The items on the scale assess the occurrence, intrusiveness, pervasiveness, and other characterizing features of an individual’s experience with worry. The scale has been shown to identify worry, over and above anxiety and depression. Items are rated on a five-point scale: 1-Not at all typical of me to 5-Very typical of me. Possible range of scores is 16-80 with the algorithm of Total scores: 16-39Low Worry, 40-59 Moderate Worry, and 60-80 High Worry.",PSWQ,149,5,,,234,20,"600, 800",2900,,,16,,"Meyer, T. J., Miller, M. L., Metzger, R. L., & Borkovec, T. D.",22200,2020-03-11,AB,1990,,"29200, 22100, 27800, 22600, 28200",,,,
118,Ruminative Responses Scale,http://www-personal.umich.edu/~gonzo/RuminationScale.pdf,"The RRS is a revision of the original, longer Response Styles Questionnaire. The RRS was developed to more directly and reliably assess rumination that is related to, but not confounded by depression. The 22 items of the RRS measure two aspects of rumination, brooding and reflective pondering. Items are rated on a four-point scale: 1-Almost Never, 2-Sometimes, 3-Often, 4-Almost always. The questionnaire provides scores for the following scales: Brooding, Reflection, and Depression",RRS,,4,,,235,20,"600, 800",2900,,,22,,,22200,2020-03-11,AB,,,"29200, 68500, 19000, 7200, 26900",,,,
119,Short Imaginal Process Inventory,https://www.ocf.berkeley.edu/~jfkihlstrom/ConsciousnessWeb/Meditation/IPI_Short.htm,"The SIPI is a 45-item, self-administered, Likert scale questionnaire designed to measure aspects of daydreaming style and content, mental style, and general inner experience. Items are rated on a five-point scale: 1-Very true or strongly characteristic of me, 2-Moderately true or characteristic of me, 3-Neither particularly characteristic nor uncharacteristic of me, 4-Moderately untrue or uncharacteristic of me, 5-Definitely untrue or strongly uncharacteristic of me.",SIPI,,,,,236,20,"600, 800",2900,,,45,,"Huba, Singer, Aneshensel, & Antrobus",22200,2020-03-11,AB,1982,,,,,,
120,Ohio State University TBI Identification Method Short Form ,http://www.nchv.org/images/uploads/B2%20-%20Edmonston%20Handout.pdf,"The OSU TBI-ID-SF is a standardized, short, structured interview designed to elicit a rich lifetime TBI history.",OSU TBI-ID-SF,,,,,,20,100,2900,,,9,,"Corrigan, J., & Bogner, J.",22200,2020-03-08,AB,,,,,,,
121,Vancouver Index of Acculturation,http://www.midss.org/content/vancouver-index-acculturation,The VIA is a measure of acculturation that distinguishes the acquisition of the new (host) cultural tendencies from the loss of old (Heritage) cultural tendencies,VIA,,,,,,20,800,2900,,,20,,"Paulhus, D. L.",22200,2020-03-12,AB,2013,,,,,,
122,The Hollingshead Four Factor Index of Socioeconomic Status,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/ses-child.html,"The SES-Child is a survey designed to measure social status of an individual based on four domains: marital status, retired/employed status, educational attainment, and occupational prestige.",SES-Child,,,,,237,20,"2600, 2700",2900,6,17,,,"Hollingshead, A. A.",22200,2020-03-11,AB,1975,,,,5,,
123,Hollingshead Four Factor Index of Socioeconomic Status-Child Version,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/ses-child.html,"The Hollingshead Four Factor Index of Socioeconomic Status is a survey designed to measure social status of an individual based on four domains: marital status, retired/employed status, educational attainment, and occupational prestige.",SES-Child,,,,,237,20,"2600, 2700","200, 600",6,17,,,"Hollingshead, A. A.",22200,2020-01-27,AB,1975,,,,"8, 9",,
125,General Medical History Form: Adult ,https://www.ghcscw.com/SiteCollectionDocuments/General_Medical_History_Adult.pdf,,,,,,,,20,800,2900,,,,,,22200,2020-03-06,AB,,,,,5,,
126,Sex Role Identity Scale,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/SRIS.html,The Sex Role Identity Scale assesses an individual’s gender role characterization.,,,,,,238,20,"600, 800",2900,13,85,,,"Storms, M. D.",22200,2020-03-11,AB,1979,,,,,,
127,PhenX Sexual History,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/PhenX.html,The PhenX provides an objective assessment of self-reported sexual behaviors.,,,,,,,20,"600, 800",2900,13,85,8,,,22200,2020-03-10,AB,,,,,"5, 9",,
129,Adult ADHD Clinical Diagnostic Scale,https://eprovide.mapi-trust.org/instruments/adult-adhd-clinical-diagnostic-scale,To assess childhood Attention-Deficit/Hyperactivity Disorder (ADHD) and expanded symptoms of current adult ADHD for the diagnosis of adult ADHD according to DSM-5 criteria,ACDS,14,,,,,20,800,2900,13,80,18,,"Adler, L. & Cohen, J.",22200,2019-12-02,AB,2004,,22200,,"5, 9",,
132,"Behavior Assessment System for Children, Second Edition - Self-Report of Personality (Ages 8-11)",https://cloudfront.ualberta.ca/-/media/ualberta/faculties-and-programs/centres-institutes/community-university-partnership/resources/tools---assessment/basc-2jan-2012.pdf,The BASC-2 SRP/8-12 assesses behavior and emotions in children and adolescents,BASC-2 SRP/8-11,,"1, 4, 5, 9, 15",,,,20,200,2900,8,11,,30,"Reynolds, C. R., & Kamphaus, R. W.",22200,2019-12-10,AB,2004,"1331, 1334",29200,30,8,,
133,"Behavior Assessment System for Children, Second Edition - Self-Report of Personality (Ages 12-21)",https://cloudfront.ualberta.ca/-/media/ualberta/faculties-and-programs/centres-institutes/community-university-partnership/resources/tools---assessment/basc-2jan-2012.pdf,The BASC-2 SRP/12-22 assesses behavior and emotions in children and adolescents,BASC-2 SRP/12-21,,"1, 4, 5, 9, 15",,,,20,"600, 750",2900,12,21,,30,"Reynolds, C. R., & Kamphaus, R. W.",22200,2019-12-10,AB,2004,"1332, 1335, 1337",29200,30,"5, 8, 9",,
135,Perseverative Thinking Questionnaire,http://fcon_1000.projects.nitrc.org/indi/enhanced/assessments/PTQ.html,"The PTQ is a self-administered, 15-item, Likert-type scale designed to measure the broad idea of repetitive negative thought. The items on the scale assess what are considered to be the core aspects of repetitive negative thought: 1) their repetitive and intrusive nature, 2) the perceived unproductive nature of these thoughts, and 3) the way in which this type of thinking captures mental capacity. Items are rated on a five-point scale: 0-Never, 1-Rarely, 2-Sometimes, 3-Often, 4-Almost Always.",PTQ,,,,,240,20,"600, 800",2900,,,15,,"Ehring, T., Xetsche, U., Weidacker, K., Wahl, K., Schönfeld, S., & Ehlers, A.",22200,2020-03-08,AB,2011,,"22100, 27800, 22600",,,,
136,Affect Intensity Measure,http://www.midss.org/content/affect-intensity-measure-aim-long-and-short-form,"The AIM is a self-administered, 40-item, Likert scale questionnaire designed to measure the strength or weakness with which one experiences both positive and negative emotions. The questionnaire provides scores for the following scales: Negative Intensity, Positive Intensity, Negative Affectivity, and Positive Affectivity. Items are rated on a six-point scale: 1-Never, 2-Almost Never, 3-Occasionally, 4-Usually, 5-Almost Always, 6-Always.",AIM,,,,,241,20,"2600, 2700","200, 400, 600",,,40,,"Larsen, R. J.",22200,2019-12-10,AB,1984,,,,,,
137,2011 Middle School Youth Risk Behavior Survey,ftp://ftp.cdc.gov/pub/data/yrbs/2011/2011_ms_questionnaire.pdf,"The YRBS-MS is a 45-item self-report questionnaire developed by the Center for Disease Control and Prevention (CDC), used to measure risky behavior in teens and young adults. The focus of the YRBS is to determine incidence and prevalence of specific behaviors in six areas that contribute to leading causes of morbidity and mortality in adolescents and adults. These six areas include: unintentional and intentional injuries; tobacco use; alcohol and other drug use; sexual behaviors that contribute to unintended pregnancy and STD; dietary behaviors that result in disease; and physical inactivity. Behaviors are rated on a multiple-choice response format.",YRBS-MS,,,,,241,20,1300,2900,11,14,45,,Centers for Disease Control and Prevention,22200,2019-12-02,AB,2011,,,,3,,
